,lon,lat,alt,NAME,population,area,density
340,120.57,23.891,36,彰化縣社頭鄉,43144,36.1449,1194
341,120.58,23.911,34,彰化縣社頭鄉,43144,36.1449,1194
342,120.6,23.891,41,彰化縣社頭鄉,43144,36.1449,1194
343,120.61,23.901,63,彰化縣社頭鄉,43144,36.1449,1194
344,120.62,23.911,152,彰化縣社頭鄉,43144,36.1449,1194
345,120.58,23.881,39,彰化縣社頭鄉,43144,36.1449,1194
346,120.59,23.921,33,彰化縣社頭鄉,43144,36.1449,1194
347,120.59,23.911,34,彰化縣社頭鄉,43144,36.1449,1194
348,120.59,23.901,37,彰化縣社頭鄉,43144,36.1449,1194
349,120.61,23.881,80,彰化縣社頭鄉,43144,36.1449,1194
350,120.61,23.891,65,彰化縣社頭鄉,43144,36.1449,1194
351,120.58,23.901,36,彰化縣社頭鄉,43144,36.1449,1194
352,120.61,23.921,71,彰化縣社頭鄉,43144,36.1449,1194
353,120.6,23.931,33,彰化縣社頭鄉,43144,36.1449,1194
354,120.58,23.921,31,彰化縣社頭鄉,43144,36.1449,1194
355,120.62,23.931,201,彰化縣社頭鄉,43144,36.1449,1194
356,120.57,23.911,30,彰化縣社頭鄉,43144,36.1449,1194
357,120.58,23.891,37,彰化縣社頭鄉,43144,36.1449,1194
358,120.6,23.911,34,彰化縣社頭鄉,43144,36.1449,1194
359,120.62,23.921,166,彰化縣社頭鄉,43144,36.1449,1194
360,120.57,23.901,32,彰化縣社頭鄉,43144,36.1449,1194
361,120.61,23.931,78,彰化縣社頭鄉,43144,36.1449,1194
362,120.55,22.591,17,屏東縣竹田鄉,17158,29.0732,590
363,120.525,22.576,11,屏東縣竹田鄉,17158,29.0732,590
364,120.52193,22.56969,12,屏東縣竹田鄉,17158,29.0732,590
365,120.52,22.621,18,屏東縣竹田鄉,17158,29.0732,590
366,120.53607,22.63984,24,屏東縣竹田鄉,17158,29.0732,590
367,120.54,22.591,14,屏東縣竹田鄉,17158,29.0732,590
368,120.53,22.611,18,屏東縣竹田鄉,17158,29.0732,590
369,120.51,22.621,15,屏東縣竹田鄉,17158,29.0732,590
370,120.52,22.561,9,屏東縣竹田鄉,17158,29.0732,590
371,120.51,22.561,7,屏東縣竹田鄉,17158,29.0732,590
372,120.525,22.575,11,屏東縣竹田鄉,17158,29.0732,590
373,120.54,22.571,13,屏東縣竹田鄉,17158,29.0732,590
374,120.53,22.601,15,屏東縣竹田鄉,17158,29.0732,590
375,120.523,22.616,18,屏東縣竹田鄉,17158,29.0732,590
376,120.55,22.601,17,屏東縣竹田鄉,17158,29.0732,590
377,120.5,22.561,7,屏東縣竹田鄉,17158,29.0732,590
378,120.526,22.622,20,屏東縣竹田鄉,17158,29.0732,590
379,120.544,22.582,14,屏東縣竹田鄉,17158,29.0732,590
380,120.52,22.611,17,屏東縣竹田鄉,17158,29.0732,590
381,120.525,22.621,19,屏東縣竹田鄉,17158,29.0732,590
382,120.53,22.591,14,屏東縣竹田鄉,17158,29.0732,590
383,120.52,22.581,11,屏東縣竹田鄉,17158,29.0732,590
384,120.51,22.551,3,屏東縣竹田鄉,17158,29.0732,590
385,120.52,22.591,11,屏東縣竹田鄉,17158,29.0732,590
386,120.5,22.571,9,屏東縣竹田鄉,17158,29.0732,590
387,120.52,22.601,14,屏東縣竹田鄉,17158,29.0732,590
388,120.53,22.631,20,屏東縣竹田鄉,17158,29.0732,590
389,120.54,22.581,13,屏東縣竹田鄉,17158,29.0732,590
390,120.55,22.581,15,屏東縣竹田鄉,17158,29.0732,590
391,120.52,22.571,11,屏東縣竹田鄉,17158,29.0732,590
392,120.53,22.571,11,屏東縣竹田鄉,17158,29.0732,590
393,120.53,22.621,19,屏東縣竹田鄉,17158,29.0732,590
394,120.54,22.601,16,屏東縣竹田鄉,17158,29.0732,590
395,120.53,22.581,11,屏東縣竹田鄉,17158,29.0732,590
396,120.51,22.571,10,屏東縣竹田鄉,17158,29.0732,590
397,120.45,22.581,8,屏東縣萬丹鄉,50935,57.4679,886
398,120.45,22.561,8,屏東縣萬丹鄉,50935,57.4679,886
399,120.49,22.561,8,屏東縣萬丹鄉,50935,57.4679,886
400,120.49,22.611,17,屏東縣萬丹鄉,50935,57.4679,886
401,120.488,22.582,14,屏東縣萬丹鄉,50935,57.4679,886
402,120.5,22.541,5,屏東縣萬丹鄉,50935,57.4679,886
403,120.48,22.601,15,屏東縣萬丹鄉,50935,57.4679,886
404,120.46,22.611,13,屏東縣萬丹鄉,50935,57.4679,886
